"BANKNO","BIDCITY","BIDNAME","BIDSTATE","BRDATE","BSTATUS","CERT","CHCLASS","CHCLASS1","CITY","CITYST","CLOSCD","COMMENTS","COST","COSTMOSTRECENTASOF","FAILDATE","FAILYR","FIN","FSL_PROG","FUND","ID","NAME","PSTALP","PTRDATE","QBFASSET","QBFDEP","RESDATE","RESTYPE","RESTYPE1","SAVR","TERMI","UNINSDEP","URL"
"","0","0","0","","",,"NM","NM","DENHAM SPRINGS","DENHAM SPRINGS, LA","","",,"","6/23/1937","1937","0","","1","130","AMITE RIVER BANK","LA","0",308,248,,"FAILURE","PO","FDIC","","",""
"","ST. JOSEPH","BANK OF ST JOSEPH","MO","","I",1620,"NM","NM","ST. JOSEPH","ST. JOSEPH, MO","PASNN","",8681,"30SEP2025","11/6/1986","1986","2612","","1","1300","FIRST STOCK YARDS BANK","MO","0",31589,31526,"11/6/1986","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","I",4090,"N","N","ENID","ENID, OK","PONNN","",27385,"30SEP2025","11/6/1986","1986","5765","","1","1301","THE FIRST NATIONAL BANK & TR CO.","OK","0",100115,96804,"11/6/1986","FAILURE","PO","FDIC","T","","na"
"","RAYMONDVILLE","RAYMONDVILLE STATE BANK","TX","","I",12998,"NM","NM","DONNA","DONNA, TX","PASNN","",6912,"30SEP2025","11/6/1986","1986","2610","","1","1302","THE CITIZENS STATE BANK","TX","0",27468,27793,"11/6/1986","FAILURE","PA","FDIC","T","","na"
"","CHOKIO","FIRST STATE BANK CHOKIO","MN","","I",10995,"NM","NM","CHOKIO","CHOKIO, MN","PASAN","",4880,"30SEP2025","11/7/1986","1986","2614","","1","1303","CHOKIO STATE BANK","MN","0",11917,10959,"11/7/1986","FAILURE","PA","FDIC","T","","na"
"","NEW ORLEANS","WHITNEY NB OF NEW ORLEAN","LA","","I",24081,"NM","NM","BATON ROUGE","BATON ROUGE, LA","PASNN","",28671,"30SEP2025","11/7/1986","1986","2613","","1","1304","METROPOLITAN BANK & TRUST COMPANY","LA","0",70053,69201,"11/7/1986","FAILURE","PA","FDIC","T","","na"
"","HOXIE","PRAIRIE STATE BANK","KS","","I",13570,"NM","NM","HOXIE","HOXIE, KS","PASAN","",9004,"30SEP2025","11/13/1986","1986","2615","","1","1305","THE HOXIE STATE BANK","KS","0",35821,33362,"11/13/1986","FAILURE","PA","FDIC","T","","na"
"","TEMPLE","UNION NB OF OKLAHOMA","OK","","I",18871,"N","N","TEMPLE","TEMPLE, OK","DPNAN","",511,"30SEP2025","11/14/1986","1986","5771","","1","1306","FIRST NATIONAL BANK OF TEMPLE","OK","0",7346,7124,"11/14/1986","FAILURE","IDT","FDIC","T","","na"
"","SAN JOSE","PACIFIC VALLEY BANK","CA","","I",24395,"NM","NM","SAN JOSE","SAN JOSE, CA","PASNN","",133,"30SEP2025","11/14/1986","1986","2616","","1","1307","THE BANK OF NORTHERN CALIFORNIA","CA","0",16095,15774,"11/14/1986","FAILURE","PA","FDIC","T","","na"
"","WILLOWS","FIRST INTERSTATE CNTL BA","CA","","I",3547,"N","N","WILLOWS","WILLOWS, CA","PANNN","",2465,"30SEP2025","11/20/1986","1986","2619","","1","1308","FIRST NATIONAL BANK","CA","0",62962,59245,"11/20/1986","FAILURE","PA","FDIC","T","","na"
"","OKLAHOMA CITY","FIRST INTERSTATE BK OF O","OK","","I",19098,"NM","NM","NORMAN","NORMAN, OK","PASNN","",12399,"30SEP2025","11/20/1986","1986","2618","","1","1309","NORMAN BANK OF COMMERCE","OK","0",43525,41632,"11/20/1986","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","",,"NM","NM","GHENT","GHENT, KY","","",,"","6/26/1937","1937","0","","1","131","GHENT DEPOSIT BANK","KY","0",223,189,,"FAILURE","PO","FDIC","","",""
"","CALDWELL","FIRST STATE BANK IN CALD","TX","","I",24855,"N","N","COLLEGE STATION","COLLEGE STATION, TX","PANNN","",2976,"30SEP2025","11/20/1986","1986","2617","","1","1310","TEXANA NATIONAL BANK OF COLLEGE","TX","0",12085,11897,"11/20/1986","FAILURE","PA","FDIC","T","","na"
"","METAIRIE","PELICAN HOMESTEAD & SAVINGS","LA","86-11-21","",31493,"SB","SB","METAIRIE","METAIRIE, LA","","",278766,"30SEP2025","11/21/1986","1986","1717","MCP-C","3","1311","GULF FEDERAL SAVINGS BANK","LA","0",499112,375140,"12/30/1987","ASSISTANCE","A/A","FSLIC","","","na"
"","TUCSON","GREAT AMERICAN FIRST SAVING","AZ","86-11-21","",32105,"SL","SL","GRAND JUNCTION","GRAND JUNCTION, CO","","",0,"30SEP2025","11/21/1986","1986","1879","MCP-C","3","1312","FIRST SECURITY  S&LA","CO","0",55238,52133,"3/9/1987","ASSISTANCE","A/A","FSLIC","","","na"
"","TULSA","BANK OF OKLAHOMA NA","OK","","",4166,"N","N","OKLAHOMA CITY","OKLAHOMA CITY, OK","","",78778,"30SEP2025","11/24/1986","1986","1930","","1","1313","BANK OF OKLAHOMA, OKLA. CITY, N.A.","OK","0",468166,349863,"11/24/1986","ASSISTANCE","A/A","FDIC","","","na"
"","MORRISTOWN","BANKOF EAST TENNESSEE","TN","","",15409,"NM","NM","MORRISTOWN","MORRISTOWN, TN","","",11300,"30SEP2025","11/26/1986","1986","1931","","1","1314","BANK OF COMMERCE","TN","0",66627,64699,"11/26/1986","ASSISTANCE","A/A","FDIC","","","na"
"","ROCHESTER","MARQUETTE BANK ROCHESTER","MN","","I",5258,"N","N","STEWARTVILLE","STEWARTVILLE, MN","PANAN","",980,"30SEP2025","12/4/1986","1986","2623","","1","1315","FIRST NATIONAL BANK OF STEWARTVILLE","MN","0",18475,18282,"12/4/1986","FAILURE","PA","FDIC","T","","na"
"","AMARILLO","AMARILLO NATIONAL BANK","TX","","I",15371,"NM","NM","BORGER","BORGER, TX","PASNN","",17761,"30SEP2025","12/4/1986","1986","2622","","1","1316","PANHANDLE BANK & TRUST COMPANY","TX","0",112074,99900,"12/4/1986","FAILURE","PA","FDIC","T","","na"
"","HAYS","FARMERS STATE BANK&TRUST","KS","","I",19094,"NM","NM","HAYS","HAYS, KS","PASNN","",15458,"30SEP2025","12/4/1986","1986","2621","","1","1317","HAYS STATE BANK","KS","0",27762,32252,"12/4/1986","FAILURE","PA","FDIC","T","","na"
"","WEATHERFORD","CITY NB OF WEATHERFORD","OK","","I",4069,"N","N","CORDELL","CORDELL, OK","DPNAN","",35620,"30SEP2025","12/5/1986","1986","5779","","1","1318","CORDELL NATIONAL BANK","OK","0",78649,73505,"12/5/1986","FAILURE","IDT","FDIC","T","","na"
"","KANSAS CITY","HOME FS&LA","MO","86-12-05","I",29048,"SL","SL","PINE BLUFF","PINE BLUFF, AR","","",1696677,"30SEP2025","12/5/1986","1986","7545","MCP-D","3","1319","FIRSTSOUTH  FS&LA","AR","0",1680854,1500237,"12/8/1987","FAILURE","ABT","FSLIC","T","","na"
"","0","0","0","","",,"NM","NM","SAN ANTONIO","SAN ANTONIO, TX","","",,"","6/29/1937","1937","0","","1","132","FIRST STATE BANK OF SOUTH SAN ANTONIO","TX","0",514,490,,"FAILURE","PO","FDIC","","",""
"","WARRENSBURG","UNITED MO BK OF WARRENSB","MO","","I",14262,"NM","NM","WINDSOR","WINDSOR, MO","PASAN","",7670,"30SEP2025","12/9/1986","1986","2624","","1","1320","THE CITIZENS BANK OF WINDSOR","MO","0",24790,24271,"12/9/1986","FAILURE","PA","FDIC","T","","na"
"","0","0","0","86-12-12","",29461,"SL","SL","ORLAND PARK","ORLAND PARK, IL","","FSLIC-RTC Duplicate Failures",,"30SEP2025","12/12/1986","1986","0","MCP-C/JTRGO","3","1321","FIRST SAVINGS OF AMERICA","IL","0",46975,56013,,"FAILURE","MGR","FSLIC","","","na"
"","0","0","0","","I",29648,"SB","SB","CASPER","CASPER, WY","","",18868,"30SEP2025","12/12/1986","1986","7546","","3","1322","GUARANTY FEDERAL BANK FSB","WY","0",63780,73471,"12/12/1986","FAILURE","IDT","FSLIC","T","","na"
"","BARRON","MONYCOR SAVINGS BANK, FSB","WI","","",29295,"SL","SL","BARRON","BARRON, WI","","",24848,"30SEP2025","12/16/1986","1986","1698","","3","1323","BARRON COUNTY FS&LA","WI","0",158237,144439,"12/16/1986","ASSISTANCE","A/A","FSLIC","","","na"
"","PERRYTON","FIRST NB OF PERRYTON","TX","","I",12294,"NM","NM","BOOKER","BOOKER, TX","DPSNN","",35752,"30SEP2025","12/18/1986","1986","6782","","1","1324","FIRST BANK & TRUST CO.","TX","0",94888,84607,"12/18/1986","FAILURE","IDT","FDIC","T","","na"
"","LEANDER","GREATER TEXAS BANK LEAND","TX","","I",24388,"N","N","LAGO VISTA","LAGO VISTA, TX","DPNNA","",5312,"30SEP2025","12/18/1986","1986","5781","","1","1325","LAGO VISTA NATIONAL BANK","TX","0",11862,12370,"12/18/1986","FAILURE","IDT","FDIC","T","","na"
"","DENVER","OMNIBANK LEETSDALE","CO","","I",24638,"N","N","DENVER","DENVER, CO","PANNN","",4230,"30SEP2025","12/18/1986","1986","2625","","1","1326","LANDMARK NATIONAL BANK","CO","0",12879,12756,"12/18/1986","FAILURE","PA","FDIC","T","","na"
"","BEMIDJI","NORTHERN NB OF BEMIDJI","MN","","I",1407,"NM","NM","PEQUOT LAKES","PEQUOT LAKES, MN","PASNN","",7013,"30SEP2025","12/19/1986","1986","2626","","1","1327","LAKELAND STATE BANK","MN","0",49435,49145,"12/19/1986","FAILURE","PA","FDIC","T","","na"
"","MERKEL","FARMERS&MERCHANTS NB MER","TX","","I",11936,"NM","NM","LUEDERS","LUEDERS, TX","PASNN","",2969,"30SEP2025","12/19/1986","1986","2627","","1","1328","FARMERS STATE BANK","TX","0",9695,9243,"12/19/1986","FAILURE","PA","FDIC","T","","na"
"","SAN FRANCISCO","FIRST NATIONWIDE BANK A FSB","CA","","",29096,"SL","SL","CLAYTON","CLAYTON, MO","","",75107,"30SEP2025","12/22/1986","1986","1699","","3","1329","ST. LOUIS FS&LA","MO","0",955426,963216,"12/22/1986","ASSISTANCE","A/A","FSLIC","","","na"
"","0","0","0","","",,"N","N","CAMPBELLSVILLE","CAMPBELLSVILLE, KY","","",,"","6/30/1937","1937","0","","1","133","THE TAYLOR NATIONAL BANK OF CAMPBELLSVILLE","KY","0",1651,914,,"FAILURE","PO","FDIC","","",""
"","KANSAS CITY","THE MERCHANTS BANK","MO","","",15886,"NM","NM","KANSAS CITY","KANSAS CITY, MO","","",1152,"30SEP2025","12/29/1986","1986","1932","","1","1330","BANK OF KANSAS CITY","MO","0",114114,107316,"12/29/1986","ASSISTANCE","A/A","FDIC","","","na"
"","ARCADIA","FIRST NB BIENVILLE PARISH","LA","","",20492,"NM","NM","ARCADIA","ARCADIA, LA","","",197,"30SEP2025","12/31/1986","1986","1934","","1","1331","CITIZENS BANK & TRUST COMPANY","LA","0",10424,10674,"12/31/1986","ASSISTANCE","A/A","FDIC","","","na"
"","SAN FRANCISCO","FIRST NATIONWIDE SVG FS&LA","CA","","",27865,"SL","SL","LOUISVILLE","LOUISVILLE, KY","","",93000,"30SEP2025","12/31/1986","1986","1700","","3","1332","LINCOLN FS&LA","KY","0",460843,478330,"12/31/1986","ASSISTANCE","A/A","FSLIC","","","na"
"","NORMAN","SECURITY NB&T CO OF NORM","OK","","I",4159,"N","N","NORMAN","NORMAN, OK","PANNN","",86222,"30SEP2025","1/8/1987","1987","2631","","1","1333","THE SECURITY NAT BK & TR CO. OF NORMAN","OK","0",198716,171175,"1/8/1987","FAILURE","PA","FDIC","T","","na"
"","BOWIE","BOWIE STATE BANK","TX","","I",18756,"N","N","BOWIE","BOWIE, TX","PANNN","",800,"30SEP2025","1/8/1987","1987","2630","","1","1334","BOWIE NATIONAL BANK","TX","0",12253,12406,"1/8/1987","FAILURE","PA","FDIC","T","","na"
"","GRAND JUNCTION","INTRAWEST BANK OF GRAND","CO","","I",25053,"N","N","GRAND JUNCTION","GRAND JUNCTION, CO","DPNNN","",1577,"30SEP2025","1/8/1987","1987","5788","","1","1335","AMERICAN NATIONAL BANK OF GRAND JUNCTION","CO","0",7669,7242,"1/8/1987","FAILURE","IDT","FDIC","T","","na"
"","CANTON","NATIONAL BANK OF CANTON","IL","","I",12548,"NM","NM","CUBA","CUBA, IL","PASAN","",2475,"30SEP2025","1/9/1987","1987","2632","","1","1336","STATE BANK OF CUBA","IL","0",18275,17717,"1/9/1987","FAILURE","PA","FDIC","T","","na"
"","MAYSVILLE","FIRST NB OF MAYSVILLE","OK","","I",4189,"N","N","RUSH SPRINGS","RUSH SPRINGS, OK","PANAN","",3749,"30SEP2025","1/15/1987","1987","2634","","1","1337","THE FIRST NATIONAL BANK OF RUSH SPRINGS","OK","0",12827,12502,"1/15/1987","FAILURE","PA","FDIC","T","","na"
"","CLARION","FIRST NB OF CLARION","IA","","I",17475,"NM","NM","LATIMER","LATIMER, IA","PASAN","",3229,"30SEP2025","1/15/1987","1987","2633","","1","1338","LATIMER BANK & TRUST","IA","0",23230,21988,"1/15/1987","FAILURE","PA","FDIC","T","","na"
"","DENVER","CENTURY BANK&TRUST","CO","","I",23829,"SM","SM","DENVER","DENVER, CO","PABNN","",2959,"30SEP2025","1/15/1987","1987","2635","","1","1339","FIRST CHARTER BANK","CO","0",10125,9347,"1/15/1987","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","",,"NM","NM","STURGIS","STURGIS, KY","","",,"","7/3/1937","1937","0","","1","134","BANK OF STURGIS","KY","0",246,213,,"FAILURE","PO","FDIC","","",""
"","COLLINSVILLE","AMERICAN EXCHANGE BANK","OK","","I",24423,"N","N","SKIATOOK","SKIATOOK, OK","PANNN","",4115,"30SEP2025","1/15/1987","1987","2636","","1","1340","THE FIRST NATIONAL BANK OF SKIATOOK","OK","0",13988,13566,"1/15/1987","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","I",28309,"SL","SL","ROSEBURG","ROSEBURG, OR","","",11906,"30SEP2025","1/16/1987","1987","7548","","3","1341","UMPQUA S&LA","OR","0",108213,88486,"1/16/1987","FAILURE","PO","FSLIC","T","","na"
"","0","0","0","","I",31169,"SL","SL","BURKBURNETT","BURKBURNETT, TX","","",269426,"30SEP2025","1/16/1987","1987","7547","","3","1342","FIRST S&LA OF BURKBURNETT","TX","0",204538,74124,"1/16/1987","FAILURE","IDT","FSLIC","T","","na"
"","WESLACO","SAN ANTONIO FSB","TX","","",31598,"SL","SL","WESLACO","WESLACO, TX","","",160523,"30SEP2025","1/16/1987","1987","1701","","3","1343","MAGIC VALLEY S&LA","TX","0",103392,116546,"1/16/1987","ASSISTANCE","A/A","FSLIC","","","na"
"","FREDERICK","FIRST NATIONAL BANK&TRUS","OK","","I",14627,"N","N","FREDERICK","FREDERICK, OK","DPNAN","",10475,"30SEP2025","1/22/1987","1987","5794","","1","1344","NATIONAL BANK OF FREDERICK","OK","0",23821,22368,"1/22/1987","FAILURE","IDT","FDIC","T","","na"
"","WORCESTER","WORCESTER CNTY INST FOR","MA","","I",2609,"N","N","MARLBOROUGH","MARLBOROUGH, MA","DPNNN","",18654,"30SEP2025","1/23/1987","1987","5795","","1","1345","THE FIRST NATIONAL BANK OF MARLBOROUGH","MA","0",60731,55881,"1/23/1987","FAILURE","IDT","FDIC","T","","na"
"","LOS ANGELES","SECURITY PACIFIC NB","CA","","I",23282,"NM","NM","BISHOP","BISHOP, CA","DTSNA","",4082,"30SEP2025","1/23/1987","1987","6796","","1","1346","FIRST SIERRA BANK","CA","0",23227,22996,"1/23/1987","FAILURE","IDT","FDIC","T","","na"
"","0","0","0","87-01-23","I",32176,"SL","SL","SANTA ANNA","SANTA ANNA, CA","","",98903,"30SEP2025","1/23/1987","1987","7577","MCP-C","3","1347","NORTH AMERICA  S&LA","CA","0",220304,220504,"6/6/1988","FAILURE","PO","FSLIC","T","","na"
"","LAFAYETTE","LAFAYETTE NATIONAL BANK","IN","","I",4372,"N","N","REMINGTON","REMINGTON, IN","PANAN","",7767,"30SEP2025","1/29/1987","1987","2638","","1","1348","THE FARMERS NATIONAL BANK OF REMINGTON","IN","0",34717,33499,"1/29/1987","FAILURE","PA","FDIC","T","","na"
"","CRYSTAL CITY","ZAVALA COUNTY BANK","TX","","I",8444,"NM","NM","LA PRYOR","LA PRYOR, TX","PASAN","",1618,"30SEP2025","1/29/1987","1987","2641","","1","1349","THE LA PRYOR STATE BANK","TX","0",5695,5444,"1/29/1987","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","",,"NM","NM","HIGGINSVILLE","HIGGINSVILLE, MO","","",,"","7/3/1937","1937","0","","1","135","AMERICAN BANK","MO","0",,206,,"FAILURE","P&A","FDIC","","",""
"","0","0","0","","I",15143,"NM","NM","PATTONBURG","PATTONBURG, MO","POSAN","",1499,"30SEP2025","1/29/1987","1987","6798","","1","1350","FIRST STATE BANK OF PATTONSBURG","MO","0",5915,5779,"1/29/1987","FAILURE","PO","FDIC","T","","na"
"","MCALESTER","BANK NATIONAL ASSN","OK","","I",19522,"NM","NM","HOLDENVILLE","HOLDENVILLE, OK","PASNN","",5147,"30SEP2025","1/29/1987","1987","2637","","1","1351","PEOPLES BANK & TRUST COMPANY","OK","0",20176,18791,"1/29/1987","FAILURE","PA","FDIC","T","","na"
"","HOUSTON","TEXAS COMMERCE BANK NA","TX","","I",20694,"N","N","THE WOODLANDS","THE WOODLANDS, TX","PANNN","",13871,"30SEP2025","1/29/1987","1987","2640","","1","1352","MONTGOMERY COUNTY BANK, N.A.","TX","0",48494,47634,"1/29/1987","FAILURE","PA","FDIC","T","","na"
"","HOUSTON","JERSEY VILLAGE BANK","TX","","I",25633,"N","N","BEAR CREEK","BEAR CREEK, TX","PANNN","",7540,"30SEP2025","1/29/1987","1987","2639","","1","1353","BEAR CREEK NATIONAL BANK","TX","0",26593,25970,"1/29/1987","FAILURE","PA","FDIC","T","","na"
"","REINBECK","LINCOLN SAVINGS BANK","IA","","I",10496,"NM","NM","ALLISON","ALLISON, IA","PASAN","",1511,"30SEP2025","2/5/1987","1987","2643","","1","1354","STATE BANK OF ALLISON","IA","0",17353,16993,"2/5/1987","FAILURE","PA","FDIC","T","","na"
"","WICHITA","UNION BOULEVARD NB","KS","","I",17267,"NM","NM","WICHITA","WICHITA, KS","PASNN","",20129,"30SEP2025","2/5/1987","1987","2642","","1","1355","BOULEVARD STATE BANK","KS","0",102271,89631,"2/5/1987","FAILURE","PA","FDIC","T","","na"
"","DENVER","WOMENS BANK N A","CO","","I",24274,"N","N","DENVER","DENVER, CO","DPNNN","",3644,"30SEP2025","2/5/1987","1987","5806","","1","1356","MARKET NATIONAL BANK","CO","0",8724,9377,"2/5/1987","FAILURE","IDT","FDIC","T","","na"
"","0","0","0","","I",24709,"N","N","DALLAS","DALLAS, TX","PONNA","",5049,"30SEP2025","2/5/1987","1987","5805","","1","1357","SUNBELT NATIONAL BANK","TX","0",11380,11780,"2/5/1987","FAILURE","PO","FDIC","T","","na"
"","SEILING","FIRST NB OF SEILING","OK","","I",24056,"NM","NM","SEILING","SEILING, OK","PASNN","",2407,"30SEP2025","2/11/1987","1987","2644","","1","1358","COMMUNITY BANK","OK","0",5144,5373,"2/11/1987","FAILURE","PA","FDIC","T","","na"
"","ATOKA","ATOKA STATE BANK","OK","","I",18773,"NM","NM","ATOKA","ATOKA, OK","PASNN","",2483,"30SEP2025","2/12/1987","1987","2645","","1","1359","FIRST CITY BANK OF ATOKA","OK","0",11622,12450,"2/12/1987","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","",,"NM","NM","ANUTT","ANUTT, MO","","",,"","7/12/1937","1937","0","","1","136","BANK OF ANUTT","MO","0",,33,,"FAILURE","P&A","FDIC","","",""
"","0","0","0","","I",24039,"N","N","MIDLAND","MIDLAND, TX","PONNN","",3712,"30SEP2025","2/12/1987","1987","5809","","1","1360","SECURITY NATIONAL BANK","TX","0",8644,8813,"2/12/1987","FAILURE","PO","FDIC","T","","na"
"","0","0","0","","I",25193,"N","N","LIVE OAK","LIVE OAK, TX","PONNN","",4904,"30SEP2025","2/12/1987","1987","5810","","1","1361","FEDERATED NATIONAL BANK","TX","0",13632,12392,"2/12/1987","FAILURE","PO","FDIC","T","","na"
"","CHILLICOTHE","CITIZENS BANK&TRUST CO","MO","","I",14742,"NM","NM","KING CITY","KING CITY, MO","PASAN","",5492,"30SEP2025","2/13/1987","1987","2646","","1","1362","FIRST STATE BANK OF KING CITY, MISSOURI","MO","0",14457,14503,"2/13/1987","FAILURE","PA","FDIC","T","","na"
"","TAMPA","NCNB NB OF FLORIDA","FL","","I",21627,"NM","NM","MANATEE COUNTY","MANATEE COUNTY, FL","PASNN","",69120,"30SEP2025","2/13/1987","1987","2647","","1","1363","THE COUNTY BANK","FL","0",187142,159572,"2/13/1987","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","I",31115,"SB","SB","ROCKFORD","ROCKFORD, IL","","",115677,"30SEP2025","2/13/1987","1987","7549","","3","1364","LIFE SAVINGS OF AMERICA","IL","0",342279,339245,"2/13/1987","FAILURE","IDT","FSLIC","T","","na"
"","0","0","0","87-02-13","I",31913,"SL","SL","CHICKASHA","CHICKASHA, OK","","",40417,"30SEP2025","2/13/1987","1987","7581","MCP-C","3","1365","UNIVERSAL SA, FA","OK","0",104554,87976,"7/29/1988","FAILURE","PO","FSLIC","T","","na"
"","ATMORE","FIRST NB OF ATMORE","AL","","I",24990,"NM","NM","ATMORE","ATMORE, AL","PASNN","",0,"30SEP2025","2/19/1987","1987","2648","","1","1366","FIRST STATE BANK OF ATMORE","AL","0",12365,12392,"2/19/1987","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","I",5579,"N","N","WESLACO","WESLACO, TX","PONNN","",16026,"30SEP2025","2/20/1987","1987","5815","","1","1367","THE FIRST NATIONAL BANK OF WESLACO","TX","0",70708,73170,"2/20/1987","FAILURE","PO","FDIC","T","","na"
"","NEW ORLEANS","HIBERNIA NATIONAL BANK","LA","","I",19257,"NM","NM","LAFAYETTE","LAFAYETTE, LA","PASNN","",12864,"30SEP2025","2/20/1987","1987","2649","","1","1368","HUB CITY BANK & TRUST COMPANY","LA","0",37978,38209,"2/20/1987","FAILURE","PA","FDIC","T","","na"
"","TISHOMINGO","FIRST AMERICAN NATIONAL BANK","OK","","",24068,"N","N","DURANT","DURANT, OK","","",1057,"30SEP2025","2/25/1987","1987","1936","","1","1369","AMERICAN NATIONAL BANK","OK","0",9696,10167,"2/25/1987","ASSISTANCE","A/A","FDIC","","","na"
"","0","0","0","","",,"NM","NM","SUMMERVILLE","SUMMERVILLE, GA","","",,"","7/13/1937","1937","0","","1","137","CHATTOOGA COUNTY BANK","GA","0",265,205,,"FAILURE","PO","FDIC","","",""
"","PLAINVIEW","HALE COUNTY STATE BANK","TX","","I",17947,"NM","NM","HART","HART, TX","PASAN","",1246,"30SEP2025","2/26/1987","1987","2650","","1","1370","FARMERS STATE BANK","TX","0",9803,9594,"2/26/1987","FAILURE","PA","FDIC","T","","na"
"","NATCHITOCHES","PEOPLES B&T NATCHITOCHES LA","LA","","",19331,"NM","NM","GLENMORA","GLENMORA, LA","","",11,"30SEP2025","2/26/1987","1987","1937","","1","1371","CENTRAL BANK & TRUST COMPANY","LA","0",20598,24660,"2/26/1987","ASSISTANCE","A/A","FDIC","","","na"
"","CROSBY","FIRST NB OF CROSBY","TX","","I",24356,"N","N","CROSBY","CROSBY, TX","PANNN","",2388,"30SEP2025","2/26/1987","1987","2651","","1","1372","FIRST NATIONAL BANK OF CROSBY","TX","0",7797,8001,"2/26/1987","FAILURE","PA","FDIC","T","","na"
"","CANTON","NATIONAL BANK OF CANTON","IL","","I",3695,"NM","NM","LEWISTOWN","LEWISTOWN, IL","PASAN","",4167,"30SEP2025","2/27/1987","1987","2652","","1","1373","THE LEWISTOWN BANK","IL","0",15254,14938,"2/27/1987","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","",28129,"SL","SL","BELOIT","BELOIT, KS","","",22385,"30SEP2025","2/27/1987","1987","0","","3","1374","FIRST FS&LA OF BELOIT","KS","0",82910,89654,"2/27/1987","FAILURE","IDT","FSLIC","","","na"
"","OMAHA","COMMERCIAL FS&LA","NE","87-02-27","I",30623,"SL","SL","ENGLEWOOD","ENGLEWOOD, CO","","",121663,"30SEP2025","2/27/1987","1987","7589","MCP-C","3","1375","KEY S&LA","CO","0",241648,203684,"11/18/1988","FAILURE","IDT","FSLIC","T","","na"
"","CHARLES CITY","FIRST SECURITY BANK&TRUS","IA","","I",9101,"NM","NM","ROCKFORD","ROCKFORD, IA","PASAN","",1418,"30SEP2025","3/4/1987","1987","2653","","1","1376","THE FIRST STATE BANK","IA","0",15754,15205,"3/4/1987","FAILURE","PA","FDIC","T","","na"
"","WEST CONCORD","FARMERS STB OF WEST CONC","MN","","I",14426,"N","N","WEST CONCORD","WEST CONCORD, MN","DPNAN","",1385,"30SEP2025","3/5/1987","1987","5821","","1","1377","FIRST NATIONAL BANK IN WEST CONCORD","MN","0",9068,8741,"3/5/1987","FAILURE","IDT","FDIC","T","","na"
"","HOUSTON","CENTRAL BANK OF HOUSTON","TX","","I",18994,"NM","NM","HOUSTON","HOUSTON, TX","PASNN","",17480,"30SEP2025","3/5/1987","1987","2655","","1","1378","LIBERTY BANK","TX","0",57195,53860,"3/5/1987","FAILURE","PA","FDIC","T","","na"
"","SAPULPA","AMERICAN NB&T CO SAPULPA","OK","","I",24262,"N","N","SAPULPA","SAPULPA, OK","PANNN","",2514,"30SEP2025","3/5/1987","1987","2657","","1","1379","FIRST NATIONAL BANK OF SAPULPA","OK","0",7460,7600,"3/5/1987","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","",,"NM","NM","BAINVILLE","BAINVILLE, MT","","",,"","7/13/1937","1937","0","","1","138","FARMERS STATE BANK OF BAINVILLE","MT","0",104,54,,"FAILURE","PO","FDIC","","",""
"","BELLVILLE","AUSTIN COUNTY STATE BANK","TX","","I",25326,"N","N","SEALY","SEALY, TX","PANNN","",2162,"30SEP2025","3/5/1987","1987","2656","","1","1380","SEALY NATIONAL BANK","TX","0",7670,7586,"3/5/1987","FAILURE","PA","FDIC","T","","na"
"","NEWPORT BEACH","STANDARD PACIFIC SAVINGS FA","CA","","",32163,"SL","SL","GARDENS","GARDENS, CA","","",5315,"30SEP2025","3/6/1987","1987","1702","","3","1381","SOUTH BAY S&LA","CA","0",61880,64324,"3/6/1987","ASSISTANCE","A/A","FSLIC","","","na"
"","OLNEY","FIRST NATIONAL BANK OF O","TX","","I",3372,"N","N","OLNEY","OLNEY, TX","PANAN","",2475,"30SEP2025","3/12/1987","1987","2659","","1","1382","THE FIRST NATIONAL BANK OF OLNEY","TX","0",16684,17340,"3/12/1987","FAILURE","PA","FDIC","T","","na"
"","EL PASO","MBANK EL PASO NATIONAL A","TX","","I",20915,"NM","NM","EL PASO","EL PASO, TX","PASNN","",13489,"30SEP2025","3/12/1987","1987","2660","","1","1383","WESTERN BANK","TX","0",46701,46082,"3/12/1987","FAILURE","PA","FDIC","T","","na"
"","0","0","0","","I",23445,"N","N","DEL RIO","DEL RIO, TX","PONNN","",17986,"30SEP2025","3/12/1987","1987","5824","","1","1384","PLAZA NATIONAL BANK","TX","0",34250,33068,"3/12/1987","FAILURE","PO","FDIC","T","","na"
"","OKLAHOMA CITY","FIRST INTERSTATE BK OF O","OK","","I",24822,"SM","SM","OKLAHOMA CITY","OKLAHOMA CITY, OK","PABNN","",5834,"30SEP2025","3/12/1987","1987","2661","","1","1385","EXPRESSWAY BANK","OK","0",19089,20059,"3/12/1987","FAILURE","PA","FDIC","T","","na"
