"BANKNO","BIDCITY","BIDNAME","BIDSTATE","BRDATE","BSTATUS","CERT","CHCLASS","CHCLASS1","CITY","CITYST","CLOSCD","COMMENTS","COST","COSTMOSTRECENTASOF","FAILDATE","FAILYR","FIN","FSL_PROG","FUND","ID","NAME","PSTALP","PTRDATE","QBFASSET","QBFDEP","RESDATE","RESTYPE","RESTYPE1","SAVR","TERMI","UNINSDEP","URL"
"","WINTER HAVEN","CENTERSTATE BANK OF FLORIDA, NATIONAL ASSOCIATION","FL","","I",27344,"N","N","OCALA","OCALA, FL","TANNN","",11982,"30SEP2025","8/20/2010","2010","10281","","5","3848","INDEPENDENT NATIONAL BANK","FL","0",156218,141877,"8/20/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/inatbank.html"
"","MARTINSVILLE","RIVER COMMUNITY BANK, NATIONAL ASSOCIATION","VA","","I",31623,"SL","SL","MARTINSVILLE","MARTINSVILLE, VA","TAFNN","",4746,"30SEP2025","8/20/2010","2010","10280","","5","3849","IMPERIAL SAVINGS AND LOAN ASSOCIATION","VA","0",9448,10090,"8/20/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/imperialsvgs.html"
"","0","0","0","","",,"N","N","BURNS","BURNS, OR","","",,"","8/29/1942","1942","0","","1","385","THE HARNEY COUNTY NATIONAL BANK OF BURNS","OR","0",,1114,,"FAILURE","P&A","FDIC","","",""
"","SAN DIEGO","PACIFIC WESTERN BANK","CA","","I",32165,"SB","SB","SOLVANG","SOLVANG, CA","TAFNN","",3434,"30SEP2025","8/20/2010","2010","10282","","5","3850","LOS PADRES BANK","CA","0",866459,770899,"8/20/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/lospadres.html"
"","EL CENTRO","RABOBANK, NATIONAL ASSOCIATION","CA","","I",33219,"NM","NM","CHICO","CHICO, CA","TASNN","",1663,"30SEP2025","8/20/2010","2010","10278","","5","3851","BUTTE COMMUNITY BANK","CA","0",498751,471256,"8/20/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/butte.html"
"","LITTLE ROCK","BANK OF THE OZARKS","AR","","I",35061,"SM","SM","BRADENTON","BRADENTON, FL","TABNN","",61295,"30SEP2025","9/10/2010","2010","10286","","5","3852","HORIZON BANK","FL","0",187819,164594,"9/10/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/horizonfl.html"
"","CARROLLTON","COMMUNITY & SOUTHERN BANK","GA","","I",182,"NM","NM","WINDER","WINDER, GA","TASNN","",101852,"30SEP2025","9/17/2010","2010","10292","","5","3853","THE PEOPLES BANK","GA","0",447185,398181,"9/17/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/peoplesbank_ga.html"
"","CINCINNATI","FOUNDATION BANK","OH","","I",27808,"SI","SI","MILFORD","MILFORD, OH","TAMNN","",17928,"30SEP2025","9/17/2010","2010","10288","","5","3854","BRAMBLE SAVINGS BANK","OH","0",47523,41551,"9/17/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/bramblesavings.html"
"","BROOKFIELD","NORTH SHORE BANK, FSB","WI","","I",28612,"SL","SL","WEST ALLIS","WEST ALLIS, WI","TAFNN","",88384,"30SEP2025","9/17/2010","2010","10291","","5","3855","MARITIME SAVINGS BANK","WI","0",350488,248134,"9/17/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/maritimesavings.html"
"","PHOENIXVILLE","NEW CENTURY BANK","PA","","I",57107,"NM","NM","CHERRY HILL","CHERRY HILL, NJ","TASNN","",18856,"30SEP2025","9/17/2010","2010","10290","","5","3856","ISN BANK","NJ","0",81564,79652,"9/17/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/isnbank.html"
