RBCRWAJ,ROA,REPDTE,ASSET,CERT,NETINC,LNLSNET,DEP,NPERFV,ID,FAILED
9.935095294408844,0.609156570841889,19910930,19479,10985,89,14556,18090,0.9805431490322912,10985_19910930,1
10.365729074439828,0.8193950815810228,19911231,19713,10985,160,14470,18233,0.7507736011768884,10985_19911231,1
10.537902890204448,1.7049443385818874,19920331,20171,10985,85,14604,18627,1.0311833820831888,10985_19920331,1
10.333342075585513,0.8805870580386924,19920630,20076,10985,88,14660,18548,1.6387726638772664,10985_19920630,1
10.39924040330967,1.0892704181417572,19920930,20826,10985,165,15295,19266,0.9267262076250841,10985_19920930,1
11.048213937146203,1.2096616849416633,19921231,21722,10985,248,15157,20060,0.6260933615689164,10985_19921231,1
10.540292750782461,0.8073411720528526,19930331,20887,10985,43,15529,19253,0.6798487097237517,10985_19930331,1
10.794443999975382,1.2059369202226344,19930630,22071,10985,130,15858,20299,0.8110189841873953,10985_19930630,1
10.781965374003214,1.1423006173617234,19930930,22627,10985,187,16152,20874,0.5966323418924293,10985_19930930,1
11.122521905722815,1.175109540249779,19931231,22470,10985,258,16320,20561,0.7165109034267912,10985_19931231,1
10.455155209338447,0.7631386294562637,19940331,22607,10985,43,16739,20778,1.18105011722033,10985_19940331,1
10.225217257336535,0.5973645680819912,19940630,23223,10985,68,17057,21377,1.1109675752486758,10985_19940630,1
9.770327590182482,0.5647972574622792,19940930,23294,10985,97,17932,21399,1.5068257920494548,10985_19940930,1
10.900869849689505,0.5602437060121153,19941231,22642,10985,128,15868,20898,1.2013073050083916,10985_19941231,1
10.77928574176987,1.4390086829073305,19950331,22389,10985,81,17299,20506,1.25061414087275,10985_19950331,1
11.203335563678188,1.3132381456019744,19950630,23045,10985,149,17060,21030,1.631590366673899,10985_19950630,1
10.934744268077601,1.0787776912426443,19950930,24372,10985,187,18015,22371,1.2104053832266535,10985_19950930,1
11.32824912615189,1.0642373675024477,19951231,25007,10985,250,18059,22921,0.7837805414483945,10985_19951231,1
11.264660283187482,1.943267821652982,19960331,24806,10985,121,18694,22675,1.9995162460694993,10985_19960331,1
11.378627968337728,1.1530863202032011,19960630,24596,10985,143,18864,22419,2.4231582371117257,10985_19960630,1
0.0,1.2533972821742605,19840331,15664,338,49,8793,13825,3.28779366700715,338_19840331,1
0.0,1.215995988466842,19840630,16587,338,97,9579,14672,3.840356906010731,338_19840630,1
0.0,1.3055164613835308,19840930,16683,338,158,9476,14695,2.925133369298088,338_19840930,1
0.0,1.2961484120646232,19841231,16850,338,211,9311,14793,2.694362017804154,338_19841231,1
0.0,0.2841245412572511,19850331,16938,338,12,9234,15060,3.1999055378439016,338_19850331,1
0.0,-0.37905709547500593,19850630,16864,338,-32,9370,15000,2.555740037950664,338_19850630,1
0.0,0.5752587251396318,19850930,17026,338,73,9331,15052,2.842711147656525,338_19850930,1
0.0,1.0421082379539353,19851231,17246,338,177,9039,15194,2.719471181723298,338_19851231,1
0.0,1.4064936906281016,19860331,18019,338,62,9398,15985,3.3353682224318772,338_19860331,1
0.0,1.0254504922905445,19860630,18565,338,92,8813,16524,2.3592782116886615,338_19860630,1
0.0,1.163746547342835,19860930,18578,338,158,8294,16495,2.239207664980084,338_19860930,1
0.0,0.8554319931565441,19861231,18774,338,156,7919,16688,1.9068925109193564,338_19861231,1
0.0,0.919613975993798,19870331,18633,338,43,7289,16625,1.8139859389255621,338_19870331,1
0.0,1.1606445659118334,19870630,18941,338,109,7859,16848,1.4413177762525737,338_19870630,1
0.0,1.5148723121847623,19870930,18992,338,214,8234,16833,1.237363100252738,338_19870930,1
0.0,1.177756321156111,19871231,18907,338,222,8432,16748,0.8462474215898873,338_19871231,1
0.0,1.2278705443382993,19880331,18882,338,58,8461,16764,1.0168414362885287,338_19880331,1
0.0,1.4005016722408026,19880630,19619,338,134,9087,17388,0.5250012742749376,338_19880630,1
0.0,1.1113674252109433,19880930,20812,338,163,9238,18560,0.5958101095521814,338_19880930,1
0.0,1.1272304503866957,19881231,20695,338,223,9506,18376,0.4348876540227108,338_19881231,1
0.0,1.0456522255757028,19890331,21384,338,55,10296,19128,0.5471380471380471,338_19890331,1
0.0,1.4855879284301665,19890630,22138,338,159,10698,19734,0.28006143283042734,338_19890630,1
0.0,1.2843384377844607,19890930,22570,338,209,11956,20088,0.3322995126273815,338_19890930,1
0.0,1.1256272320419511,19891231,23818,338,249,12625,21279,0.11755814929884961,338_19891231,1
14.304084117573426,1.6170904262697925,19900331,26643,338,102,13778,24101,0.1726532297413955,338_19900331,1
14.8360126813119,1.7498949298895807,19900630,28058,338,229,14318,25343,0.28155962648798916,338_19900630,1
14.824213417278317,1.7124312888489475,19900930,28305,338,343,15321,25497,0.4380851439674969,338_19900930,1
14.202521682383592,1.4849214956944556,19901231,30557,338,408,16292,27676,0.26507837811303464,338_19901231,1
15.72649385247025,1.8004404648994485,19910331,31650,338,140,16263,28753,0.18957345971563982,338_19910331,1
15.815551784109836,1.7108836432003343,19910630,33533,338,273,17401,30443,0.4652133719023052,338_19910630,1
15.73189116038867,1.6787292520767116,19910930,34514,338,410,18715,31267,0.4259141218056441,338_19910930,1
16.526667341362213,1.5696779432976569,19911231,34748,338,518,18659,31406,0.3050535282606193,338_19911231,1
15.679247917345371,2.0496072524564317,19920331,36290,338,182,19687,32778,0.4601818682832736,338_19920331,1
16.006384619523306,2.072134800167108,19920630,36677,338,372,20722,32924,0.37625760013087217,338_19920630,1
